                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.1797,                0.68017,                 1.1414,                 1.4063,                0.87189,                 1.1335,                0.81195,                0.69748,                 0.7592,                0.43957,                 1.3968,                0.71295,                 1.2482,                 1.6356,                0.90005,                 1.2425,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1911,                0.68891,                  1.143,                 1.4202,                0.89187,                 1.1347,                0.80062,                0.70292,                0.76015,                0.43701,                 1.4008,                0.71895,                 1.2472,                 1.6302,                0.92313,                 1.2373,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1902,                0.68403,                 1.1394,                 1.4148,                0.88166,                 1.1329,                 0.8067,                0.68406,                0.75164,                0.43545,                 1.4061,                 0.7209,                 1.2505,                 1.6422,                0.91963,                 1.2409,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.1457,                0.65093,                 1.1266,                 1.3497,                0.81193,                 1.1214,                0.78491,                0.69425,                0.74501,                0.43287,                 1.4211,                0.73057,                 1.2497,                 1.6663,                 0.9172,                 1.2397,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.1121,                0.63117,                 1.1046,                 1.3193,                0.77813,                 1.1044,                0.84386,                0.66824,                0.74528,                0.43483,                 1.4191,                0.73202,                 1.2511,                 1.6543,                0.92733,                 1.2414,               0.000218,               0.000218,               0.000218
                     93,                 1.1072,                0.62296,                  1.109,                 1.2982,                0.75471,                  1.108,                0.84622,                0.67612,                0.75367,                0.43182,                 1.4201,                0.73781,                 1.2544,                 1.6489,                0.93232,                 1.2482,              0.0001982,              0.0001982,              0.0001982
                     94,                  1.093,                0.61911,                 1.0991,                 1.2887,                0.76016,                 1.0963,                0.85668,                0.66273,                0.74951,                0.43946,                 1.4032,                0.72769,                 1.2503,                 1.6252,                0.92804,                 1.2365,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0908,                0.61537,                 1.1017,                 1.2905,                 0.7497,                 1.0998,                0.81186,                0.68873,                0.75202,                0.43268,                 1.4284,                0.73363,                 1.2645,                 1.6541,                0.92151,                 1.2438,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.0896,                0.61552,                 1.0924,                 1.3013,                0.75253,                 1.0919,                0.82701,                0.68186,                0.75692,                0.43944,                 1.4035,                0.72408,                 1.2531,                 1.6312,                0.90822,                  1.239,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0823,                0.60682,                  1.094,                 1.2855,                0.73949,                 1.0951,                0.83588,                0.67829,                0.75568,                0.43794,                 1.4146,                0.72726,                 1.2593,                  1.642,                0.90398,                 1.2475,               0.000119,               0.000119,               0.000119
                     98,                 1.0701,                0.59792,                 1.0863,                 1.2674,                0.72677,                  1.085,                0.84192,                0.68085,                0.75629,                  0.438,                 1.4155,                0.73177,                  1.259,                 1.6368,                0.91641,                 1.2448,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.0712,                0.59785,                 1.0824,                 1.2667,                0.71717,                 1.0824,                0.84176,                0.67612,                0.75596,                0.43897,                  1.412,                0.72419,                 1.2592,                 1.6379,                0.90223,                 1.2472,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0617,                  0.592,                 1.0822,                 1.2615,                0.71187,                 1.0832,                0.84829,                0.67928,                0.75771,                0.44093,                 1.4138,                0.72978,                 1.2585,                 1.6351,                0.92144,                  1.245,               5.96e-05,               5.96e-05,               5.96e-05
